Тикер;Шаг цены;Комиссия;Начало периода;Конец периода;Индекс начала периода;Индекс конца периода;Полное название стратегии;Сокращенное название стратегии;Описание стратегии
RTS.F;10;2.5;18 12 2020;17 06 2021;16;17;Обратная MonkeyN;Обратная MonkeyN;[ Обратная | MonkeyN | Тип закрытия: FixPercect | N: 100 | Stop: 100 | Уровень ранзака: 3 | % Закрытия: 100 | Фильтр вне ранзака: False | Фильтр выше-ниже: True | Динамический стоп: True ]

Направление;Тип закрытия;Индекс входа;Индекс выхода;Цена входа;Цена выхода;Причина входа;Причина выхода
S;Stop;119121852;119121869;144630;144730;;;
S;Stop;119122043;119122096;144780;144880;;;
B;Stop;119122022;119122139;144750;144750;;;
B;Stop;119122133;119122144;144800;144700;;;
B;Stop;119121908;119122147;144670;144670;;;
S;Stop;119122286;119122333;144700;144800;;;
B;Stop;119122430;119122455;144890;144780;;;
S;Stop;119122491;119122653;144850;144860;;;
S;Stop;119122652;119122689;144910;145010;;;
B;Stop;119122730;119122821;144930;144920;;;
B;Stop;119122801;119122869;144960;144860;;;
S;Stop;119122756;119122891;144990;144990;;;
S;Stop;119122888;119122896;144950;145050;;;
S;SoftwareClose;119121573;119122944;145190;145010;Фиксированная 2;;
S;SoftwareClose;119121361;119122944;145460;145010;Фиксированная 1;;
B;Stop;119123021;119123044;145040;144930;;;
B;Stop;119123167;119123237;144930;144930;;;
S;Stop;119123255;119123296;145020;145120;;;
B;Stop;119123232;119123352;144990;144990;;;
B;Stop;119123328;119123355;145060;144960;;;
S;Stop;119123580;119123609;144760;144860;;;
S;Stop;119123990;119124032;144580;144580;;;
S;Stop;119124030;119124176;144560;144660;;;
S;Stop;119124271;119124333;144670;144770;;;
B;Stop;119124205;119124374;144650;144650;;;
B;Stop;119124366;119124413;144700;144600;;;
S;Stop;119124447;119124466;144650;144750;;;
B;Stop;119124553;119124576;144670;144570;;;
S;Stop;119124714;119124740;144410;144510;;;
S;Stop;119124805;119124888;144490;144590;;;
S;Stop;119125093;119125172;144270;144270;;;
S;Stop;119125152;119125224;144260;144360;;;
B;Stop;119125339;119125389;144400;144400;;;
B;Stop;119125591;119125625;144560;144460;;;
S;Stop;119125662;119125745;144560;144660;;;
B;SoftwareClose;119125979;119126055;144800;144840;Фиксированная 2;;
B;SoftwareClose;119125374;119126055;144410;144840;Фиксированная 1;;
B;Stop;119126236;119126251;144740;144630;;;
S;Stop;119126474;119126538;144460;144560;;;
S;SoftwareClose;119126041;119126727;144820;144610;Фиксированная 1;;
B;Stop;119126779;119126790;144580;144480;;;
B;Stop;119126569;119126791;144470;144470;;;
S;Stop;119126847;119126862;144470;144570;;;
B;Stop;119127258;119127312;144980;144880;;;
B;Stop;119127086;119127369;144720;144720;;;
B;Stop;119127610;119127638;144480;144380;;;
B;Stop;119127757;119127806;144300;144200;;;
S;Stop;119127946;119128006;144190;144310;;;
S;Stop;119127700;119128022;144390;144390;;;
S;Stop;119128081;119128228;144370;144370;;;
S;Stop;119128190;119128230;144290;144390;;;
S;Stop;119128591;119128602;144380;144480;;;
S;SoftwareClose;119127564;119128603;144500;144490;Фиксированная 1;;
B;Stop;119128652;119128788;144490;144390;;;
B;Stop;119128552;119128802;144370;144370;;;
S;Stop;119128938;119129053;144400;144500;;;
B;Stop;119130542;119130629;145220;145120;;;
S;Stop;119130710;119130733;145150;145250;;;
B;Stop;119130847;119131001;145250;145150;;;
S;Stop;119131034;119131059;145160;145260;;;
S;Stop;119130943;119131059;145260;145260;;;
B;Stop;119131144;119131464;145250;145250;;;
B;Stop;119131310;119131465;145340;145240;;;
S;Stop;119131619;119131737;145200;145200;;;
B;Stop;119131706;119131825;145160;145060;;;
S;Stop;119131734;119131940;145190;145190;;;
S;Stop;119131927;119131968;145140;145240;;;
B;Stop;119132032;119132151;145190;145090;;;
B;SoftwareClose;119129226;119132450;144500;144870;Фиксированная 4;;
B;SoftwareClose;119129099;119132450;144450;144870;Фиксированная 3;;
B;SoftwareClose;119129008;119132450;144370;144870;Фиксированная 2;;
B;SoftwareClose;119128442;119132450;144230;144870;Фиксированная 1;;
S;Stop;119133251;119133373;144500;144600;;;
S;Stop;119132982;119133416;144710;144710;;;
B;Stop;119133451;119133689;144650;144650;;;
B;Stop;119133637;119133720;144660;144560;;;
B;Stop;119133813;119133854;144590;144490;;;
S;Stop;119133772;119133954;144600;144600;;;
S;Stop;119133937;119134022;144560;144660;;;
S;SoftwareClose;119132293;119134077;145100;144570;Фиксированная 2;;
S;SoftwareClose;119131386;119134077;145380;144570;Фиксированная 1;;
B;Stop;119134342;119134508;144800;144700;;;
B;Stop;119134073;119134544;144590;144590;;;
B;Stop;119133979;119134606;144530;144530;;;
B;Stop;119134795;119134820;144470;144370;;;
S;Stop;119134922;119135000;144360;144360;;;
S;Stop;119134984;119135046;144340;144440;;;
S;Stop;119134725;119135072;144550;144550;;;
B;Stop;119135092;119135206;144460;144360;;;
S;Stop;119135269;119135324;144400;144500;;;
S;Stop;119135130;119135324;144500;144500;;;
B;Stop;119135350;119135410;144410;144310;;;
S;Stop;119135548;119135629;144230;144230;;;
S;Stop;119135883;119135898;144050;144150;;;
S;Stop;119135623;119135923;144210;144210;;;
B;Stop;119135995;119136129;144130;144030;;;
S;Stop;119136390;119136590;143910;144010;;;
S;Stop;119136098;119136685;144170;144170;;;
B;Stop;119136754;119136785;144140;144040;;;
S;Stop;119136843;119136875;144060;144160;;;
S;SoftwareClose;119134626;119136876;144630;144170;Фиксированная 1;;
B;Stop;119136954;119137086;144160;144060;;;
S;Stop;119137127;119137246;144130;144230;;;
B;Stop;119137357;119137378;144210;144110;;;
B;Stop;119137478;119137541;144180;144080;;;
S;Stop;119137682;119137716;144020;144120;;;
S;Stop;119137400;119137768;144200;144200;;;
B;SoftwareClose;119137824;119137975;144120;144140;Фиксированная 1;;
S;Stop;119137898;119138056;144130;144130;;;
S;Stop;119138048;119138065;144060;144160;;;
B;Stop;119138088;119138254;144060;144060;;;
S;Stop;119138125;119138401;144150;144160;;;
S;Stop;119138400;119138514;144150;144250;;;
B;Stop;119138697;119138735;144310;144210;;;
S;Stop;119138801;119138870;144290;144390;;;
S;Stop;119138927;119138951;144370;144470;;;
B;Stop;119138893;119139077;144300;144300;;;
B;SoftwareClose;119139049;119139142;144370;144380;Фиксированная 2;;
B;SoftwareClose;119138247;119139142;144090;144380;Фиксированная 1;;
S;Stop;119139287;119141759;144320;144780;;;
S;Stop;119139140;119141759;144400;144780;;;
S;Stop;119141976;119142027;144900;145000;;;
B;Stop;119142289;119142407;145030;145030;;;
B;Stop;119142139;119142468;144990;144990;;;
B;Stop;119142394;119142481;145060;144960;;;
S;Stop;119142521;119142825;145030;145130;;;
S;Stop;119142974;119143152;145150;145250;;;
B;Stop;119143219;119143378;145210;145210;;;
B;Stop;119143348;119143622;145250;145250;;;
B;Stop;119143582;119143701;145300;145200;;;
B;Stop;119142911;119143862;145120;145120;;;
S;Stop;119143881;119144071;145230;145330;;;
B;Stop;119144122;119144159;145290;145190;;;
S;Stop;119144205;119144298;145240;145340;;;
B;Stop;119144474;119144783;145390;145290;;;
S;Stop;119144807;119144829;145380;145480;;;
B;Stop;119144922;119144998;145480;145380;;;
B;Stop;119145141;119145188;145400;145300;;;
S;Stop;119145387;119145462;145310;145410;;;
S;Stop;119145038;119145568;145460;145460;;;
B;Stop;119145686;119145848;145420;145420;;;
B;Stop;119145837;119145874;145460;145360;;;
B;Stop;119145502;119145877;145350;145350;;;
S;Stop;119146022;119146233;145420;145520;;;
B;Stop;119146774;119147131;145660;145660;;;
B;Stop;119146990;119147133;145750;145650;;;
B;Stop;119146677;119147775;145580;145580;;;
S;Stop;119147417;119147959;145710;145710;;;
S;Stop;119147181;119147979;145740;145740;;;
S;Stop;119147867;119147983;145660;145760;;;
S;Stop;119147040;119148145;145800;145800;;;
B;Stop;119148285;119148378;145800;145700;;;
S;Stop;119148460;119148554;145720;145820;;;
B;Stop;119149055;119149335;145930;145930;;;
B;Stop;119149249;119149384;145990;145890;;;
B;Stop;119148843;119149384;145890;145890;;;
S;Stop;119150072;119150398;145750;145750;;;
S;Stop;119150382;119150409;145700;145800;;;
S;Stop;119149863;119150409;145800;145800;;;
B;Stop;119150435;119150597;145700;145600;;;
B;Stop;119146299;119150850;145420;145420;;;
B;SoftwareClose;119146100;119150954;145390;145590;Фиксированная 3;;
B;SoftwareClose;119142717;119150954;145000;145590;Фиксированная 2;;
B;SoftwareClose;119141894;119150954;144840;145590;Фиксированная 1;;
S;Stop;119151527;119151802;145310;145310;;;
S;Stop;119151656;119151812;145270;145370;;;
S;Stop;119151294;119151901;145410;145410;;;
S;Stop;119150884;119152021;145520;145520;;;
B;Stop;119151987;119152116;145390;145390;;;
B;Stop;119152097;119152182;145440;145340;;;
S;Stop;119152202;119152241;145420;145520;;;
B;Stop;119152269;119152357;145420;145320;;;
S;Stop;119152472;119152533;145310;145410;;;
B;Stop;119152665;119152735;145490;145390;;;
S;Stop;119152776;119152924;145440;145540;;;
B;Stop;119152903;119153003;145430;145430;;;
B;Stop;119152963;119153032;145470;145370;;;
S;Stop;119153115;119153290;145400;145400;;;
S;Stop;119153287;119153364;145400;145400;;;
S;Stop;119153351;119153534;145390;145490;;;
S;Stop;119150484;119153832;145790;145790;;;
B;Stop;119153992;119154090;145750;145650;;;
S;Stop;119154135;119154387;145750;145750;;;
S;Stop;119154386;119154434;145740;145840;;;
B;Stop;119154562;119154673;145820;145720;;;
B;Stop;119154228;119154712;145690;145690;;;
S;Stop;119154768;119154814;145770;145770;;;
S;Stop;119154812;119154932;145750;145850;;;
S;Stop;119149466;119154976;145940;145940;;;
B;Stop;119155103;119155148;145850;145750;;;
S;Stop;119155272;119155492;145790;145890;;;
S;Stop;119155679;119155708;145850;145950;;;
B;Stop;119155592;119155902;145830;145830;;;
B;Stop;119155849;119155927;145880;145780;;;
S;Stop;119156238;119156318;145720;145720;;;
B;Stop;119156368;119156548;145650;145650;;;
S;Stop;119156317;119156593;145710;145710;;;
S;Stop;119156589;119156688;145690;145790;;;
B;Stop;119156545;119156807;145670;145670;;;
S;Stop;119156897;119156961;145750;145850;;;
B;Stop;119158000;119158201;146180;146180;;;
S;Stop;119158234;119158576;146260;146360;;;
S;Stop;119158747;119158800;146380;146480;;;
S;Stop;119158935;119159147;146460;146460;;;
B;Stop;119158705;119159265;146320;146320;;;
B;Stop;119158880;119159457;146380;146280;;;
B;Stop;119158127;119159527;146220;146220;;;
S;Stop;119159581;119159656;146320;146420;;;
S;Stop;119159144;119159661;146450;146450;;;
B;Stop;119159713;119160021;146350;146350;;;
S;Stop;119160149;119160430;146410;146410;;;
S;Stop;119160429;119160610;146400;146500;;;
B;Stop;119160787;119160833;146500;146400;;;
B;Stop;119159968;119160838;146380;146380;;;
S;Stop;119161057;119161144;146330;146430;;;
B;Stop;119161271;119161329;146440;146340;;;
S;Stop;119161408;119161666;146380;146480;;;
B;Stop;119162142;119162309;146620;146520;;;
B;Stop;119161685;119162718;146390;146390;;;
B;Stop;119161462;119162804;146360;146360;;;
B;Stop;119162703;119162805;146450;146350;;;
S;Stop;119162947;119163361;146400;146400;;;
S;Stop;119163351;119163492;146370;146470;;;
B;Stop;119163210;119163525;146360;146360;;;
B;Stop;119163520;119163612;146380;146280;;;
B;Stop;119157632;119163837;146150;146150;;;
B;Stop;119157402;119164289;146060;146060;;;
S;Stop;119164106;119164360;146190;146190;;;
S;Stop;119164355;119164452;146160;146260;;;
B;Stop;119164822;119164905;146310;146210;;;
S;Stop;119165253;119165427;146200;146200;;;
S;Stop;119165389;119165431;146120;146220;;;
S;Stop;119164957;119165632;146290;146290;;;
B;Stop;119165847;119165894;146280;146180;;;
B;Stop;119165533;119165952;146160;146160;;;
B;Stop;119166065;119166179;146210;146110;;;
S;Stop;119166020;119166241;146230;146230;;;
S;Stop;119166206;119166430;146210;146310;;;
S;Stop;119166661;119166808;146400;146500;;;
S;Stop;119162660;119166808;146500;146500;;;
B;Stop;119166981;119167091;146470;146370;;;
B;Stop;119166636;119167117;146350;146350;;;
B;Stop;119167642;119167785;146240;146140;;;
B;SoftwareClose;119156730;119167786;145690;146170;Фиксированная 2;;
B;SoftwareClose;119153432;119167786;145380;146170;Фиксированная 1;;
S;Stop;119167976;119168023;146190;146290;;;
S;Stop;119167434;119168027;146310;146310;;;
S;Stop;119167292;119168161;146380;146380;;;
B;Stop;119168213;119168544;146280;146280;;;
B;Stop;119168455;119168654;146360;146260;;;
S;Stop;119168728;119168872;146280;146280;;;
S;Stop;119168863;119168900;146230;146330;;;
B;Stop;119169096;119169336;146350;146350;;;
S;Stop;119169254;119169379;146400;146500;;;
B;Stop;119169509;119169554;146530;146430;;;
S;Stop;119162201;119169834;146670;146670;;;
B;Stop;119170802;119171041;147000;146900;;;
B;SoftwareClose;119169948;119171578;146600;146850;Фиксированная 4;;
B;SoftwareClose;119169676;119171578;146440;146850;Фиксированная 3;;
B;SoftwareClose;119169334;119171578;146360;146850;Фиксированная 2;;
B;SoftwareClose;119168806;119171578;146200;146850;Фиксированная 1;;
S;Stop;119171540;119171801;146790;146790;;;
B;Stop;119171605;119172007;146760;146660;;;
S;Stop;119171800;119172037;146780;146780;;;
S;Stop;119172035;119172338;146760;146760;;;
S;Stop;119172333;119172443;146750;146850;;;
S;SoftwareClose;119171188;119172444;146910;146840;Фиксированная 1;;
B;Stop;119172602;119172688;146830;146830;;;
B;Stop;119172680;119172959;146840;146840;;;
B;Stop;119172957;119173022;146840;146740;;;
S;Stop;119173067;119173271;146840;146840;;;
S;Stop;119172896;119173274;146870;146870;;;
S;Stop;119173249;119173296;146800;146900;;;
B;Stop;119173158;119173372;146750;146750;;;
B;Stop;119173347;119173481;146810;146710;;;
S;Stop;119173801;119174028;146650;146650;;;
S;Stop;119173948;119174078;146620;146720;;;
B;Stop;119174128;119174143;146670;146570;;;
S;Stop;119175402;119175578;146150;146150;;;
S;Stop;119175576;119175656;146130;146230;;;
B;Stop;119175779;119175859;146170;146070;;;
B;Stop;119176805;119176861;145750;145650;;;
S;Stop;119177142;119177258;145660;145660;;;
B;Stop;119177285;119177511;145580;145580;;;
B;Stop;119177510;119177556;145590;145490;;;
S;Stop;119177237;119177671;145640;145640;;;
S;Stop;119177641;119177687;145580;145680;;;
S;Stop;119176918;119177791;145730;145730;;;
S;Stop;119176738;119178094;145780;145780;;;
B;Stop;119177863;119178165;145650;145650;;;
S;Stop;119178178;119178213;145750;145850;;;
S;Stop;119176387;119178436;145940;145940;;;
B;Stop;119178659;119178799;145910;145810;;;
S;Stop;119178959;119179029;145910;146010;;;
B;Stop;119179068;119179159;145930;145830;;;
S;Stop;119179284;119179516;145860;145860;;;
S;Stop;119179515;119179572;145850;145950;;;
B;Stop;119179721;119179906;145950;145950;;;
B;Stop;119179892;119179944;145990;145890;;;
S;Stop;119180289;119180395;145900;145900;;;
S;Stop;119180112;119180397;145920;145920;;;
S;Stop;119180371;119180431;145850;145950;;;
B;Stop;119180470;119180540;145850;145750;;;
B;Stop;119178143;119180554;145720;145720;;;
S;Stop;119180601;119180793;145800;145800;;;
S;Stop;119180753;119180902;145750;145850;;;
B;Stop;119180960;119181016;145790;145690;;;
S;Stop;119181164;119181370;145640;145740;;;
B;Stop;119181383;119181469;145640;145640;;;
S;SoftwareClose;119175913;119181470;146160;145660;Фиксированная 2;;
S;SoftwareClose;119173385;119181470;146840;145660;Фиксированная 1;;
S;SoftwareClose;119181860;119182118;145920;145870;Фиксированная 1;;
B;Stop;119182117;119182404;145860;145860;;;
B;Stop;119182326;119182437;145940;145840;;;
B;Stop;119181828;119182437;145840;145840;;;
B;Stop;119181448;119182648;145670;145670;;;
S;Stop;119182728;119182789;145740;145840;;;
B;Stop;119182818;119182954;145760;145660;;;
S;Stop;119183112;119183136;145640;145740;;;
B;Stop;119183759;119183970;145890;145890;;;
B;Stop;119183888;119183971;145980;145880;;;
B;Stop;119183500;119184132;145830;145830;;;
S;Stop;119184555;119184911;145620;145720;;;
S;SoftwareClose;119184370;119184979;145770;145640;Фиксированная 2;;
S;SoftwareClose;119184044;119184979;145980;145640;Фиксированная 1;;
B;Stop;119184582;119185081;145580;145580;;;
B;Stop;119184972;119185083;145660;145560;;;
B;Stop;119185433;119185512;145580;145480;;;
S;Stop;119186338;119186396;145020;145120;;;
B;Stop;119186592;119186700;145070;144970;;;
S;Stop;119186733;119186802;145070;145170;;;
S;Stop;119187063;119187170;145160;145260;;;
B;Stop;119186924;119187294;145140;145140;;;
B;Stop;119187261;119187311;145210;145110;;;
S;Stop;119187390;119187555;145120;145220;;;
S;SoftwareClose;119185103;119187570;145660;145270;Фиксированная 2;;
S;SoftwareClose;119185044;119187570;145720;145270;Фиксированная 1;;
B;Stop;119188003;119188121;145390;145290;;;
B;Stop;119187648;119188131;145220;145220;;;
S;Stop;119188218;119188317;145260;145360;;;
S;Stop;119188535;119188608;145320;145420;;;
B;Stop;119188429;119188750;145300;145300;;;
B;Stop;119188705;119188787;145330;145230;;;
B;Stop;119189023;119189129;145270;145170;;;
B;SoftwareClose;119187493;119189316;145080;145230;Фиксированная 1;;
S;Stop;119189290;119189486;145200;145200;;;
B;Stop;119189545;119189642;145150;145050;;;
S;SoftwareClose;119189484;119189643;145180;145060;Фиксированная 2;;
S;SoftwareClose;119188918;119189643;145290;145060;Фиксированная 1;;
S;Stop;119190353;119190371;144810;144910;;;
S;SoftwareClose;119189710;119190518;145080;144790;Фиксированная 1;;
S;Stop;119190558;119190621;144880;144980;;;
B;Stop;119190470;119190696;144850;144850;;;
B;Stop;119190654;119190775;144900;144800;;;
S;Stop;119190913;119190976;144820;144920;;;
B;Stop;119191085;119191370;144860;144860;;;
B;SoftwareClose;119191322;119191585;144900;144910;Фиксированная 1;;
S;Stop;119191777;119192005;144800;144900;;;
S;Stop;119191582;119192010;144910;144910;;;
B;Stop;119191873;119192119;144780;144780;;;
B;Stop;119192050;119192237;144810;144710;;;
S;Stop;119192934;119193071;144430;144530;;;
S;Stop;119192573;119193274;144640;144640;;;
B;Stop;119193124;119193381;144470;144470;;;
B;Stop;119193362;119193383;144550;144450;;;
S;Stop;119193432;119193639;144500;144510;;;
B;Stop;119193556;119193687;144480;144380;;;
S;Stop;119193638;119193794;144520;144520;;;
S;Stop;119193780;119193841;144470;144570;;;
B;Stop;119193899;119193978;144490;144390;;;
S;Stop;119194259;119194357;144360;144460;;;
S;Stop;119192176;119194911;144880;144880;;;
S;Stop;119191423;119194963;144950;144950;;;
B;Stop;119195039;119195428;144860;144760;;;
S;Stop;119195331;119195490;144870;144870;;;
S;Stop;119195219;119195495;144900;144900;;;
S;Stop;119195488;119195504;144850;144950;;;
B;Stop;119195699;119195785;144970;144870;;;
S;Stop;119195856;119195894;144960;145060;;;
B;Stop;119196025;119196075;145080;144980;;;
S;Stop;119196175;119196287;145040;145040;;;
S;Stop;119196507;119196554;144890;144890;;;
B;Stop;119196589;119196671;144810;144710;;;
S;Stop;119196715;119196794;144760;144860;;;
S;Stop;119196552;119196834;144880;144880;;;
B;Stop;119196861;119196935;144780;144680;;;
S;Stop;119197172;119197306;144680;144780;;;
S;Stop;119196950;119197306;144780;144780;;;
B;Stop;119197350;119197377;144720;144620;;;
S;Stop;119197487;119197577;144660;144760;;;
B;Stop;119197681;119197722;144780;144680;;;
B;Stop;119197760;119197857;144720;144620;;;
S;Stop;119197795;119197930;144740;144740;;;
S;Stop;119197737;119198000;144780;144780;;;
S;Stop;119197907;119198012;144700;144800;;;
S;Stop;119196259;119198333;145010;145010;;;
S;Stop;119196125;119198398;145080;145080;;;
S;Stop;119199185;119199477;145410;145510;;;
B;Stop;119199541;119200166;145440;145440;;;
B;Stop;119199874;119200256;145520;145420;;;
B;Stop;119200540;119200802;145490;145390;;;
B;Stop;119199109;119200852;145320;145320;;;
S;Stop;119201101;119201190;145300;145400;;;
S;Stop;119200444;119201491;145510;145510;;;
B;Stop;119201889;119201927;145750;145650;;;
S;Stop;119201944;119202113;145750;145780;;;
B;Stop;119202003;119202240;145720;145720;;;
S;Stop;119202112;119202343;145800;145800;;;
S;Stop;119202340;119202371;145780;145880;;;
B;Stop;119202699;119202908;145830;145730;;;
B;Stop;119202205;119202908;145730;145730;;;
S;Stop;119202993;119203136;145810;145910;;;
B;Stop;119203897;119204037;146230;146130;;;
S;Stop;119204445;119204586;146110;146110;;;
S;Stop;119204228;119204624;146190;146190;;;
S;Stop;119204570;119204654;146100;146200;;;
B;Stop;119204689;119204846;146100;146100;;;
B;Stop;119204845;119204896;146110;146010;;;
S;Stop;119205152;119205295;145950;145950;;;
B;Stop;119205427;119205691;145910;145890;;;
B;Stop;119205690;119205732;145900;145800;;;
S;Stop;119205806;119206011;145840;145840;;;
S;Stop;119205980;119206029;145770;145870;;;
B;Stop;119206073;119206280;145810;145710;;;
S;Stop;119206527;119206702;145650;145750;;;
B;Stop;119206823;119207046;145660;145560;;;
B;SoftwareClose;119201279;119207261;145330;145480;Фиксированная 2;;
B;SoftwareClose;119198489;119207261;145050;145480;Фиксированная 1;;
S;Stop;119207789;119207859;145330;145430;;;
B;Stop;119207917;119208014;145370;145270;;;
S;Stop;119208085;119208490;145370;145470;;;
B;Stop;119208608;119208731;145470;145370;;;
S;SoftwareClose;119208813;119208914;145460;145430;Фиксированная 6;;
S;SoftwareClose;119207124;119208914;145630;145430;Фиксированная 5;;
S;SoftwareClose;119206955;119208914;145710;145430;Фиксированная 4;;
S;SoftwareClose;119206195;119208914;145860;145430;Фиксированная 3;;
S;SoftwareClose;119205266;119208914;145920;145430;Фиксированная 2;;
S;SoftwareClose;119204720;119208914;146180;145430;Фиксированная 1;;
B;Stop;119209049;119209182;145460;145460;;;
B;Stop;119209163;119209199;145530;145430;;;
B;Stop;119208912;119209199;145430;145430;;;
S;Stop;119209242;119209383;145520;145620;;;
B;SoftwareClose;119208311;119210495;145350;145670;Фиксированная 1;;
S;Stop;119210534;119210732;145670;145670;;;
S;Stop;119210935;119210976;145440;145540;;;
S;Stop;119211120;119211165;145500;145600;;;
S;Stop;119210731;119211175;145660;145660;;;
B;Stop;119211262;119211481;145590;145490;;;
B;Stop;119211007;119211486;145460;145460;;;
S;Stop;119211706;119211976;145440;145440;;;
S;Stop;119211934;119211977;145350;145450;;;
S;Stop;119212093;119212133;145440;145540;;;
B;Stop;119212063;119212247;145390;145390;;;
B;Stop;119212185;119212261;145440;145340;;;
S;Stop;119212208;119212469;145500;145500;;;
S;Stop;119212323;119212470;145410;145510;;;
B;Stop;119212917;119212958;145700;145600;;;
B;Stop;119213337;119213441;145660;145560;;;
S;Stop;119213652;119213804;145510;145510;;;
S;Stop;119213792;119213818;145460;145560;;;
B;Stop;119213979;119214205;145550;145450;;;
S;Stop;119214343;119214631;145480;145520;;;
B;SoftwareClose;119214489;119214632;145450;145510;Фиксированная 1;;
S;Stop;119214630;119214834;145510;145510;;;
S;Stop;119214784;119214862;145460;145560;;;
S;Stop;119212991;119215184;145700;145700;;;
B;SoftwareClose;119215581;119215622;145790;145870;Фиксированная 2;;
B;SoftwareClose;119215281;119215622;145650;145870;Фиксированная 1;;
B;Stop;119215657;119215814;145800;145700;;;
S;Stop;119215960;119216021;145680;145780;;;
S;Stop;119216196;119216435;145700;145800;;;
B;Stop;119216054;119216585;145680;145680;;;
S;Stop;119216638;119216719;145780;145880;;;
B;Stop;119216482;119216776;145760;145760;;;
B;Stop;119216739;119216905;145790;145690;;;
S;Stop;119217088;119217242;145710;145710;;;
S;Stop;119217223;119217261;145690;145790;;;
B;Stop;119217296;119217462;145710;145710;;;
B;Stop;119217411;119217532;145750;145650;;;
S;Stop;119217316;119217951;145780;145780;;;
S;Stop;119217640;119217956;145710;145810;;;
B;Stop;119218207;119218243;145840;145740;;;
S;Stop;119218345;119218519;145800;145900;;;
B;SoftwareClose;119217722;119218533;145670;145750;Фиксированная 1;;
S;Stop;119219145;119219288;145170;145270;;;
B;Stop;119219589;119219714;145430;145330;;;
B;Stop;119219379;119219745;145300;145300;;;
S;Stop;119219795;119219871;145360;145460;;;
B;Stop;119219973;119219985;145500;145400;;;
S;Stop;119219999;119220132;145470;145470;;;
S;Stop;119220360;119220386;145230;145330;;;
B;Stop;119220434;119220463;145240;145140;;;
S;Stop;119220594;119220641;145110;145210;;;
S;Stop;119220202;119220727;145400;145400;;;
B;Stop;119220750;119220811;145350;145250;;;
S;Stop;119220922;119221068;145290;145290;;;
S;Stop;119221019;119221070;145210;145310;;;
B;Stop;119221131;119221186;145270;145170;;;
S;Stop;119221270;119221463;145120;145220;;;
S;Stop;119220108;119221716;145460;145460;;;
S;Stop;119221808;119221993;145420;145520;;;
B;Stop;119221759;119222137;145400;145400;;;
B;Stop;119222049;119222148;145470;145370;;;
B;Stop;119221545;119222517;145220;145220;;;
S;Stop;119222458;119222569;145350;145350;;;
S;Stop;119222563;119222592;145310;145410;;;
B;Stop;119222722;119222879;145400;145300;;;
B;SoftwareClose;119222995;119223046;145180;145240;Фиксированная 2;;
B;SoftwareClose;119221413;119223046;145080;145240;Фиксированная 1;;
S;Stop;119223045;119223204;145260;145260;;;
S;Stop;119222960;119223205;145270;145270;;;
S;Stop;119223194;119223243;145210;145310;;;
B;Stop;119223318;119223394;145290;145190;;;
S;Stop;119223612;119223817;145150;145250;;;
S;Stop;119224120;119224206;145180;145280;;;
S;Stop;119224420;119224442;145250;145350;;;
B;Stop;119224493;119224574;145290;145190;;;
B;Stop;119224248;119224574;145190;145190;;;
B;Stop;119226723;119226891;144640;144540;;;
S;Stop;119227418;119227652;144430;144450;;;
B;Stop;119227918;119228181;144430;144330;;;
S;Stop;119227651;119228229;144440;144440;;;
S;Stop;119228218;119228444;144420;144520;;;
B;Stop;119228365;119228474;144400;144400;;;
B;Stop;119228468;119228494;144420;144320;;;
S;Stop;119228586;119228782;144370;144370;;;
S;Stop;119228749;119228791;144300;144400;;;
S;SoftwareClose;119226657;119228892;144660;144490;Фиксированная 1;;
S;Stop;119229142;119229179;144530;144630;;;
B;Stop;119229070;119229221;144500;144500;;;
S;Stop;119229270;119229347;144600;144700;;;
B;Stop;119229217;119229512;144530;144530;;;
B;Stop;119229386;119229533;144620;144520;;;
S;Stop;119229561;119229574;144620;144720;;;
B;Stop;119229641;119229672;144650;144550;;;
S;Stop;119229755;119229790;144640;144740;;;
B;Stop;119229884;119230133;144700;144700;;;
B;Stop;119230007;119230195;144760;144660;;;
S;Stop;119230269;119230447;144680;144780;;;
B;Stop;119230510;119230754;144720;144720;;;
B;Stop;119230396;119230811;144670;144670;;;
B;Stop;119230648;119230814;144750;144650;;;
B;Stop;119231086;119231215;144560;144460;;;
S;Stop;119231390;119231504;144390;144390;;;
S;Stop;119231488;119231514;144350;144450;;;
S;SoftwareClose;119231649;119231717;144390;144380;Фиксированная 2;;
S;SoftwareClose;119230945;119231717;144610;144380;Фиксированная 1;;
B;Stop;119231716;119231825;144370;144370;;;
B;Stop;119231605;119231826;144360;144360;;;
B;Stop;119231820;119232032;144380;144380;;;
S;Stop;119231889;119232093;144430;144530;;;
B;Stop;119231989;119232271;144400;144400;;;
B;Stop;119232185;119232300;144430;144330;;;
S;Stop;119233008;119233129;143960;144060;;;
B;Stop;119233248;119233374;144020;144020;;;
B;Stop;119233366;119233450;144060;143960;;;
S;Stop;119233717;119233819;143870;143870;;;
S;Stop;119233809;119233988;143840;143940;;;
S;Stop;119234170;119234268;143950;144050;;;
S;SoftwareClose;119232648;119234314;144180;143950;Фиксированная 1;;
S;Stop;119234340;119234546;144030;144130;;;
B;Stop;119234310;119234585;143960;143960;;;
S;Stop;119234637;119234727;144050;144150;;;
B;Stop;119234573;119234883;144040;144040;;;
B;Stop;119234841;119234892;144110;144010;;;
S;Stop;119235225;119235371;144210;144310;;;
