Тикер;Шаг цены;Комиссия;Начало периода;Конец периода;Индекс начала периода;Индекс конца периода;Полное название стратегии;Сокращенное название стратегии;Описание стратегии
RTS.F;10;2.5;18 12 2020;17 06 2021;16;17;Обратная MonkeyN;Обратная MonkeyN;[ Обратная | MonkeyN | Тип закрытия: FixPercect | N: 100 | Stop: 100 | Уровень ранзака: 3 | % Закрытия: 100 | Фильтр вне ранзака: False | Фильтр выше-ниже: True | Динамический стоп: True ]

Направление;Тип закрытия;Индекс входа;Индекс выхода;Цена входа;Цена выхода;Причина входа;Причина выхода
S;Stop;114934513;114934741;128530;128530;;;
S;Stop;114934303;114934959;128600;128600;;;
B;Stop;114934989;114935039;128500;128400;;;
S;Stop;114934714;114935101;128510;128510;;;
B;Stop;114935140;114935548;128440;128340;;;
B;Stop;114936199;114936359;128240;128240;;;
B;Stop;114936335;114936422;128280;128180;;;
S;Stop;114937634;114937714;127870;127970;;;
S;Stop;114937217;114937715;127980;127980;;;
S;Stop;114937909;114937972;127920;128020;;;
B;Stop;114938218;114938264;127950;127850;;;
S;Stop;114938412;114938709;127890;127890;;;
B;Stop;114938496;114938776;127850;127750;;;
S;Stop;114939075;114939253;127660;127760;;;
S;Stop;114938704;114939440;127860;127860;;;
B;Stop;114939323;114939604;127710;127710;;;
B;Stop;114939544;114939606;127790;127690;;;
S;Stop;114939875;114939990;127640;127740;;;
B;Stop;114940049;114940193;127670;127570;;;
B;Stop;114940704;114940856;127540;127440;;;
B;Stop;114941813;114942256;127180;127080;;;
S;Stop;114942833;114942900;126960;127060;;;
B;Stop;114942917;114942987;126960;126860;;;
S;Stop;114943289;114943445;126780;126880;;;
B;Stop;114943626;114943796;126920;126920;;;
B;Stop;114943789;114944020;126950;126850;;;
S;Stop;114943675;114944044;126970;126970;;;
S;Stop;114944042;114944063;126950;127050;;;
S;Stop;114942436;114944088;127090;127090;;;
S;Stop;114944350;114944429;127070;127170;;;
S;Stop;114941690;114944446;127200;127200;;;
B;Stop;114944561;114944719;127200;127200;;;
B;Stop;114944897;114945092;127310;127310;;;
S;Stop;114940449;114945410;127580;127580;;;
S;Stop;114940140;114945728;127730;127730;;;
B;Stop;114945927;114946165;127760;127760;;;
S;SoftwareClose;114945996;114946166;127850;127770;Фиксированная 11;;
S;SoftwareClose;114936941;114946166;128060;127770;Фиксированная 10;;
S;SoftwareClose;114936587;114946166;128210;127770;Фиксированная 9;;
S;SoftwareClose;114936100;114946166;128310;127770;Фиксированная 8;;
S;SoftwareClose;114935092;114946166;128480;127770;Фиксированная 7;;
S;SoftwareClose;114934042;114946166;128670;127770;Фиксированная 6;;
S;SoftwareClose;114931501;114946166;128950;127770;Фиксированная 5;;
S;SoftwareClose;114931170;114946166;129040;127770;Фиксированная 4;;
S;SoftwareClose;114930798;114946166;129160;127770;Фиксированная 3;;
S;SoftwareClose;114929796;114946166;129380;127770;Фиксированная 2;;
S;SoftwareClose;114929337;114946166;129470;127770;Фиксированная 1;;
B;Stop;114946062;114946412;127810;127790;;;
B;Stop;114946411;114946453;127800;127700;;;
B;Stop;114946778;114946973;127680;127580;;;
B;Stop;114945512;114946979;127560;127560;;;
S;Stop;114946615;114947214;127700;127700;;;
B;Stop;114947248;114947382;127600;127500;;;
B;Stop;114945082;114947713;127330;127330;;;
B;Stop;114947847;114947973;127410;127310;;;
S;Stop;114947754;114948054;127420;127420;;;
S;Stop;114948048;114948081;127400;127500;;;
S;Stop;114947466;114948112;127550;127550;;;
S;SoftwareClose;114947087;114948128;127620;127580;Фиксированная 2;;
S;SoftwareClose;114946188;114948128;127860;127580;Фиксированная 1;;
B;Stop;114948188;114948399;127510;127510;;;
B;Stop;114948390;114948411;127570;127470;;;
B;Stop;114944714;114948626;127220;127220;;;
S;Stop;114948838;114948851;127190;127290;;;
B;Stop;114948902;114949097;127270;127270;;;
B;Stop;114949010;114949360;127300;127200;;;
B;Stop;114944276;114949541;127040;127040;;;
S;Stop;114949802;114949900;127010;127110;;;
S;Stop;114949473;114949980;127210;127210;;;
S;SoftwareClose;114949172;114949981;127310;127190;Фиксированная 2;;
S;SoftwareClose;114948474;114949981;127520;127190;Фиксированная 1;;
B;Stop;114950185;114950323;127240;127240;;;
